simulation_id,group,team_name,pot,confederations
5,G,FIFA 1,4,"OFC,CONCACAF,CAF"
5,H,Spain,1,UEFA
5,H,Iran,2,AFC
5,H,Tunisia,3,CAF
5,H,New Zealand,4,OFC
5,I,Brazil,1,CONMEBOL
5,I,Australia,2,AFC
5,I,Scotland,3,UEFA
5,I,Ghana,4,CAF
5,J,France,1,UEFA
5,J,South Korea,2,AFC
5,J,Egypt,3,CAF
5,J,Curaçao,4,CONCACAF
5,K,Argentina,1,CONMEBOL
5,K,Senegal,2,CAF
5,K,Norway,3,UEFA
5,K,UEFA 3,4,UEFA
5,L,Belgium,1,UEFA
5,L,Switzerland,2,UEFA
5,L,South Africa,3,CAF
5,L,FIFA 2,4,"CONMEBOL,AFC,CONCACAF"
