,Name,Rank,Points,Country,Tournaments_Played,Best_Rank
447,Gerard Campana Lee,448,96,South Korea,23,318
448,Pyotr Nesterov,449,96,Bulgaria,22,384
449,Woobin Shin,450,95,South Korea,20,450
450,Daniel Masur,451,94,Germany,24,176
451,Aryan Shah,452,94,India,8,445
452,Vadym Ursu,453,94,Ukraine,25,299
453,Michael Vrbensky,454,94,Czechia,31,277
454,Charles Broom,455,94,United Kingdom,30,235
455,Dominik Koepfer,456,93,Germany,25,49
456,Maxime Cressy,457,93,USA,26,31
457,Anton Matusevich,458,93,United Kingdom,19,388
458,Lilian Marmousez,459,93,France,16,378
459,Arthur Reymond,460,92,France,5,460
460,Michiel De Krom,461,92,Netherlands,29,437
461,Martin Krumich,462,92,Czechia,23,314
462,Juan Manuel La Serna,463,92,Argentina,17,463
463,Eric Vanshelboim,464,92,Ukraine,26,357
464,Arthur Fery,465,91,United Kingdom,21,229
465,Jakub Nicod,466,91,Czechia,25,280
466,Ergi Kirkin,467,91,Türkiye,26,251
467,Gilles Arnaud Bailly,468,91,Belgium,19,468
468,Gianluca Cadenasso,469,90,Italy,17,439
469,Kaichi Uchida,470,90,Japan,24,147
470,Kokoro Isomura,471,90,Japan,27,448
471,Joris de Loore,472,89,Belgium,23,142
472,Darwin Blanch,473,89,USA,15,473
473,Kyle Edmund,474,89,United Kingdom,18,14
474,Bor Artnak,475,88,Slovenia,23,373
475,Pedro Araujo,476,88,Portugal,24,390
476,Maks Kasnikowski,477,87,Poland,28,168
477,Alessandro Pecci,478,87,Italy,21,440
478,Philip Sekulic,479,86,Australia,32,225
479,Micah Braswell,480,86,USA,6,411
480,Petr Brunclik,481,85,Czechia,9,481
481,Peter Fajta,482,85,Hungary,15,477
482,Alex Hernandez,483,85,Mexico,4,462
483,Yurii Dzhavakian,484,85,Ukraine,35,450
484,Alex Molcan,485,84,Slovakia,22,38
485,Samuel Vincent Ruggeri,486,84,Italy,28,252
486,Olaf Pieczkowski,487,84,Poland,27,487
487,Jake Delaney,488,84,Australia,26,434
488,Ryan Seggerman,489,83,USA,18,348
489,Pedro Cachin,490,83,Argentina,26,48
490,Branko Djuric,491,83,Serbia,11,491
491,Ajeet Rai,492,83,New Zealand,21,417
492,Tibo Colson,493,83,Belgium,23,395
493,Egor Agafonov,494,83,Russia,26,465
494,Erik Arutiunian,495,82,Belarus,28,492
495,Harry Wendelken,496,81,United Kingdom,26,466
496,Aidan McHugh,497,80,United Kingdom,28,298
497,Keegan Smith,498,80,USA,24,339
498,Michael Zheng,499,79,USA,7,498
499,Aristotelis Thanos,500,79,Greece,8,500
